username,status,message,profile_path,row_number
wave.lh1398w1xo010262,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\wave.lh1398w1xo010262\storage_state.json,1
mist.jlm.022n2zz299326,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\mist.jlm.022n2zz299326\storage_state.json,2
shade.l56.626t9xx638422,failed,logged_in_but_not_inbox:auth_cookies,,3
surge.qun796f5ox959000,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\surge.qun796f5ox959000\storage_state.json,4
bolt.kc408x0pro456909,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\bolt.kc408x0pro456909\storage_state.json,5
chill.o1q.063g5cool617503,failed,logged_in_but_not_inbox:auth_cookies,,6
surge.cgv511.zz321379,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\surge.cgv511.zz321379\storage_state.json,7
flame.ay5.615g1x618129,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\flame.ay5.615g1x618129\storage_state.json,8
surge.jah.480o9zz271109,failed,logged_in_but_not_inbox:auth_cookies,,9
shade.d4z.293y0zz748813,failed,logged_in_but_not_inbox:auth_cookies,,10
vibe.p9o.751s4pro501650,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\vibe.p9o.751s4pro501650\storage_state.json,11
nova.z7n.26r3x360967,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\nova.z7n.26r3x360967\storage_state.json,12
nova.jt1.325hcool231537,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\nova.jt1.325hcool231537\storage_state.json,13
wave.4hr.726uox559563,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\wave.4hr.726uox559563\storage_state.json,14
pulse.rsk31c5zz734027,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\pulse.rsk31c5zz734027\storage_state.json,15
echo.mea473q9ox352758,failed,logged_in_but_not_inbox:auth_cookies,,16
byte.q0s.510f2vip163267,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\byte.q0s.510f2vip163267\storage_state.json,17
flame.9pn920s9xo162308,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\flame.9pn920s9xo162308\storage_state.json,18
spark.ck4939l0vip746677,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\spark.ck4939l0vip746677\storage_state.json,19
fuse.nk6.298fox636707,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\fuse.nk6.298fox636707\storage_state.json,20
fuse.v6p126r7zz212738,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\fuse.v6p126r7zz212738\storage_state.json,21
pixel.v7b954z8zz816942,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\pixel.v7b954z8zz816942\storage_state.json,22
nova.bu7.64v4xo752199,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\nova.bu7.64v4xo752199\storage_state.json,23
drift.tjt330q4xo707128,failed,logged_in_but_not_inbox:auth_cookies,,24
twist.0c7.042n5xx458963,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\twist.0c7.042n5xx458963\storage_state.json,25
glint.c4l.739jpro156492,failed,logged_in_but_not_inbox:auth_cookies,,26
nova.lbb.870s9cool656869,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\nova.lbb.870s9cool656869\storage_state.json,27
blink.9iu.752l0ox465982,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\blink.9iu.752l0ox465982\storage_state.json,28
surge.58p.253p6xo103106,failed,logged_in_but_not_inbox:auth_cookies,,29
byte.dht229f7ox833908,ok,inbox_url,C:\Users\PC\Desktop\chatbot\profiles\byte.dht229f7ox833908\storage_state.json,30
